year,Obesity Prevalence_min,Obesity Prevalence_mean,Obesity Prevalence_var,iterations,hint_rate
2008-2008,0.11940803533081235,0.12973286262428307,3.450532866833218e-05,10000,0.9
2008-2008,0.0900818292610963,0.09827374334356971,2.2667750926670846e-05,,
2008-2008,0.30141348463848033,0.30419581753988717,1.0197555520615317e-05,,
