year,Obesity Prevalence_min,Obesity Prevalence_mean,Obesity Prevalence_var,iterations,hint_rate
2008-2008,0.1286826399717291,0.1288996830300596,4.2175299667936755e-05,10000,0.7
2008-2008,0.09721320001973202,0.09763756084721165,2.5908518047415407e-05,,
2008-2008,0.3014704110682636,0.30458899344015644,4.913594007369233e-06,,
