year,Obesity Prevalence_min,Obesity Prevalence_mean,Obesity Prevalence_var
2008-2015,0.2384413543697432,0.23844129748426096,3.514778902264213e-15
2008-2015,0.18876528484330266,0.18876545982220944,7.822098250983568e-15
2008-2015,0.7069705470706134,0.7069706690534471,9.517166327595546e-15
