year,Obesity Prevalence_min,Obesity Prevalence_mean,Obesity Prevalence_var
2008-2009,0.2533419244734111,0.25371317272984006,1.941613811654241e-07
2008-2009,0.19606397551713686,0.19650843469496082,2.2001773049556717e-07
2008-2009,0.7325211906662118,0.7344874354952836,4.306497446304384e-06
