year,county,cause,sex,age_code,N
94,0101,02,1,16,1
94,0101,02,2,21,1
94,0101,02,2,22,1
94,0101,02,1,23,1
94,0101,06,1,20,2
94,0101,06,1,21,1
94,0101,06,2,21,2
94,0101,06,1,22,2
94,0101,06,1,23,3
94,0101,10,2,07,1
94,0101,10,2,08,1
94,0101,10,2,10,1
94,0101,10,1,11,1
94,0101,10,2,12,2
94,0101,10,2,13,1
94,0101,10,1,13,7
94,0101,10,2,14,6
94,0101,10,1,14,2
94,0101,10,2,15,3
94,0101,10,1,15,4
94,0101,10,1,16,9
94,0101,10,2,16,9
94,0101,10,1,17,9
94,0101,10,2,17,7
94,0101,10,1,18,14
94,0101,10,2,18,13
94,0101,10,1,19,24
94,0101,10,2,19,13
94,0101,10,2,20,10
94,0101,10,1,20,27
94,0101,10,2,21,20
94,0101,10,1,21,35
94,0101,10,1,22,33
94,0101,10,2,22,22
94,0101,10,1,23,19
94,0101,10,2,23,7
94,0101,10,2,24,4
94,0101,10,1,24,7
94,0101,10,2,25,1
94,0101,10,1,26,1
94,0101,11,1,15,1
94,0101,11,2,15,1
94,0101,11,2,17,2
94,0101,11,1,17,5
94,0101,11,2,18,2
94,0101,11,1,18,1
94,0101,11,2,19,1
94,0101,11,1,19,3
94,0101,11,2,20,3
94,0101,11,1,20,6
94,0101,11,2,21,10
94,0101,11,1,21,7
94,0101,11,1,22,6
94,0101,11,2,22,10
94,0101,11,1,23,3
94,0101,11,2,23,5
94,0101,11,2,25,1
94,0101,14,1,18,1
94,0101,14,1,21,1
94,0101,14,2,21,1
94,0101,16,1,13,2
94,0101,16,2,14,1
94,0101,16,1,14,1
94,0101,16,2,15,1
94,0101,16,1,16,6
94,0101,16,1,17,5
94,0101,16,2,17,1
94,0101,16,1,18,2
94,0101,16,2,19,5
94,0101,16,1,19,6
94,0101,16,2,20,6
94,0101,16,1,20,7
94,0101,16,1,21,16
94,0101,16,2,21,8
94,0101,16,2,22,10
94,0101,16,1,22,18
94,0101,16,1,23,13
94,0101,16,2,23,8
94,0101,16,1,24,4
94,0101,16,2,24,8
94,0101,16,1,25,2
94,0101,16,2,25,3
94,0101,16,2,26,1
94,0101,17,1,18,1
94,0101,17,2,19,1
94,0101,17,1,19,1
94,0101,17,1,20,3
94,0101,17,1,21,1
94,0101,17,2,22,3
94,0101,17,1,22,1
94,0101,17,2,23,1
94,0101,17,1,24,2
94,0101,18,2,15,1
94,0101,18,1,15,1
94,0101,18,1,16,1
94,0101,18,2,16,1
94,0101,18,2,17,1
94,0101,18,1,17,2
94,0101,18,1,18,7
94,0101,18,1,19,4
94,0101,18,2,19,1
94,0101,18,1,20,3
94,0101,18,2,20,4
94,0101,18,1,21,9
94,0101,18,2,21,10
94,0101,18,2,22,6
94,0101,18,1,22,13
94,0101,18,1,23,7
94,0101,18,2,23,12
94,0101,18,1,24,2
94,0101,18,2,24,6
94,0101,20,1,17,1
94,0101,20,1,19,1
94,0101,20,1,20,1
94,0101,20,2,20,4
94,0101,20,2,21,2
94,0101,20,1,21,4
94,0101,20,1,22,7
94,0101,20,2,22,3
94,0101,20,1,23,4
94,0101,20,2,23,3
94,0101,20,2,24,2
94,0101,20,1,24,7
94,0101,20,1,25,1
94,0101,20,2,25,1
94,0101,22,1,21,1
94,0101,22,1,22,1
94,0101,22,2,23,2
94,0101,23,2,16,1
94,0101,23,1,21,1
94,0101,23,1,22,1
94,0101,23,2,24,1
94,0101,25,1,13,1
94,0101,25,1,16,1
94,0101,25,1,18,1
94,0101,25,2,19,1
94,0101,25,1,19,1
94,0101,25,1,20,2
94,0101,25,2,21,3
94,0101,25,1,21,2
94,0101,25,2,22,3
94,0101,25,1,22,1
94,0101,25,2,23,1
94,0101,25,1,23,1
94,0101,25,2,24,4
94,0101,26,1,07,1
94,0101,26,2,11,1
94,0101,26,2,14,1
94,0101,26,1,16,1
94,0101,26,1,18,4
94,0101,26,2,19,1
94,0101,26,1,20,1
94,0101,26,2,21,2
94,0101,26,1,21,1
94,0101,26,2,22,3
94,0101,26,1,22,4
94,0101,26,1,23,1
94,0101,26,2,23,2
94,0101,26,1,24,2
94,0101,26,2,24,7
94,0101,26,1,25,1
94,0101,30,1,02,1
94,0101,31,2,01,1
94,0101,32,1,09,3
94,0101,32,1,10,2
94,0101,32,1,11,1
94,0101,32,1,12,2
94,0101,32,1,13,1
