year,county,cause,sex,age_code,N
98,0101,02,2,18,1
98,0101,02,1,19,1
98,0101,02,2,20,1
98,0101,02,1,22,1
98,0101,03,2,15,1
98,0101,03,2,16,1
98,0101,03,2,17,1
98,0101,03,1,17,1
98,0101,03,1,18,1
98,0101,03,2,19,4
98,0101,03,1,20,1
98,0101,03,2,20,3
98,0101,03,2,21,2
98,0101,03,2,22,1
98,0101,03,1,22,4
98,0101,03,2,23,7
98,0101,03,1,23,2
98,0101,03,1,24,1
98,0101,03,2,24,3
98,0101,03,2,26,1
98,0101,04,1,16,1
98,0101,04,1,21,1
98,0101,06,1,08,1
98,0101,06,1,11,1
98,0101,06,2,12,1
98,0101,06,1,13,3
98,0101,06,2,13,1
98,0101,06,1,14,1
98,0101,06,2,14,7
98,0101,06,2,15,9
98,0101,06,1,15,9
98,0101,06,1,16,10
98,0101,06,2,16,7
98,0101,06,2,17,13
98,0101,06,1,17,16
98,0101,06,2,18,11
98,0101,06,1,18,9
98,0101,06,2,19,12
98,0101,06,1,19,14
98,0101,06,1,20,23
98,0101,06,2,20,26
98,0101,06,1,21,24
98,0101,06,2,21,27
98,0101,06,1,22,32
98,0101,06,2,22,23
98,0101,06,1,23,22
98,0101,06,2,23,15
98,0101,06,1,24,10
98,0101,06,2,24,4
98,0101,07,1,21,1
98,0101,07,2,22,3
98,0101,07,1,22,1
98,0101,07,2,23,1
98,0101,09,1,15,1
98,0101,09,1,16,3
98,0101,09,2,17,1
98,0101,09,1,17,2
98,0101,09,1,18,4
98,0101,09,1,19,4
98,0101,09,2,19,1
98,0101,09,1,20,3
98,0101,09,2,20,3
98,0101,09,1,21,3
98,0101,09,2,21,13
98,0101,09,2,22,2
98,0101,09,1,22,11
98,0101,09,1,23,3
98,0101,09,2,23,9
98,0101,09,1,24,2
98,0101,09,2,24,3
98,0101,09,1,25,3
98,0101,09,2,25,1
98,0101,10,2,19,1
98,0101,10,2,22,2
98,0101,10,2,23,3
98,0101,10,2,24,2
98,0101,10,2,25,2
98,0101,11,1,02,1
98,0101,12,2,17,1
98,0101,13,1,20,1
98,0101,13,1,21,1
98,0101,13,1,22,1
98,0101,13,1,23,1
98,0101,13,2,24,1
98,0101,15,1,14,1
98,0101,15,2,15,1
98,0101,15,1,16,1
98,0101,15,2,17,1
98,0101,15,1,17,2
98,0101,15,2,19,1
98,0101,15,1,20,3
98,0101,15,2,20,3
98,0101,15,1,21,2
98,0101,15,1,22,4
98,0101,15,2,22,3
98,0101,15,2,23,2
98,0101,15,1,23,6
98,0101,15,2,24,3
98,0101,15,1,24,1
98,0101,16,1,13,1
98,0101,16,2,14,1
98,0101,16,1,14,3
98,0101,16,1,15,4
98,0101,16,1,16,2
98,0101,16,2,17,1
98,0101,16,1,17,3
98,0101,16,1,18,5
98,0101,16,2,18,2
98,0101,16,2,19,4
98,0101,16,1,19,6
98,0101,16,1,20,9
98,0101,16,2,20,5
98,0101,16,2,21,5
98,0101,16,1,21,11
98,0101,16,2,22,7
98,0101,16,1,22,13
98,0101,16,2,23,10
98,0101,16,1,23,9
98,0101,16,2,24,11
98,0101,16,1,24,7
98,0101,16,1,25,2
98,0101,16,2,25,3
98,0101,17,2,11,1
98,0101,17,1,14,1
98,0101,17,2,15,1
98,0101,17,1,15,3
98,0101,17,1,16,3
98,0101,17,2,17,1
98,0101,17,1,17,1
98,0101,17,1,18,1
98,0101,17,2,19,3
98,0101,17,1,19,1
98,0101,17,1,20,3
98,0101,17,2,20,5
98,0101,17,2,21,6
98,0101,17,1,21,4
98,0101,17,2,22,7
98,0101,17,1,22,13
98,0101,17,2,23,4
98,0101,17,1,23,9
98,0101,17,1,24,5
98,0101,17,2,24,4
98,0101,17,2,25,1
98,0101,17,1,25,1
98,0101,19,2,20,1
98,0101,19,1,21,1
98,0101,19,2,21,1
98,0101,19,2,22,1
98,0101,19,1,22,2
98,0101,20,1,22,1
98,0101,21,1,15,1
98,0101,21,1,19,3
98,0101,21,1,20,1
98,0101,21,2,20,1
98,0101,21,2,21,3
98,0101,21,1,21,3
98,0101,21,1,22,4
98,0101,21,2,22,6
98,0101,21,1,23,9
98,0101,21,2,23,3
98,0101,21,2,24,2
98,0101,21,1,24,8
98,0101,21,2,25,3
98,0101,21,2,26,1
98,0101,23,2,18,1
98,0101,23,2,19,1
98,0101,23,1,20,3
98,0101,23,2,20,1
98,0101,23,2,21,1
98,0101,23,1,22,8
98,0101,23,2,22,2
98,0101,23,2,23,1
98,0101,23,1,23,9
98,0101,23,2,24,4
98,0101,23,1,24,1
98,0101,23,1,25,1
98,0101,25,1,20,1
98,0101,25,1,21,2
98,0101,25,1,22,2
98,0101,25,1,23,1
98,0101,25,1,24,3
98,0101,26,1,22,1
98,0101,28,1,13,1
98,0101,28,1,14,2
98,0101,28,1,15,1
98,0101,28,1,16,3
98,0101,28,1,17,3
98,0101,28,1,18,1
98,0101,28,2,18,1
98,0101,28,1,19,2
98,0101,28,2,19,3
98,0101,28,2,20,1
98,0101,28,1,20,1
98,0101,28,1,21,2
98,0101,28,2,21,2
98,0101,28,2,22,4
98,0101,28,1,23,2
98,0101,28,2,23,1
98,0101,28,2,24,1
98,0101,28,1,24,1
98,0101,29,2,24,1
98,0101,29,1,24,1
98,0101,30,1,22,1
98,0101,30,1,24,1
98,0101,31,2,16,2
98,0101,31,2,20,1
98,0101,31,2,21,2
98,0101,31,2,22,2
98,0101,31,1,22,3
98,0101,31,1,23,1
98,0101,31,2,23,3
98,0101,31,1,24,2
98,0101,31,2,24,2
98,0101,31,2,25,2
98,0101,32,1,19,1
98,0101,32,2,20,2
98,0101,32,2,21,2
98,0101,32,1,21,1
98,0101,32,1,22,3
98,0101,32,2,22,1
98,0101,32,1,23,5
98,0101,32,2,23,2
98,0101,32,1,24,3
98,0101,32,2,24,1
98,0101,34,1,01,2
98,0101,35,2,02,1
98,0101,35,1,22,1
98,0101,36,2,22,1
98,0101,36,2,23,1
98,0101,36,1,24,1
98,0101,36,2,24,1
98,0101,38,1,09,2
98,0101,38,1,11,2
98,0101,38,1,12,1
98,0101,38,2,12,1
98,0101,38,2,16,1
98,0101,38,1,16,1
98,0101,38,1,18,1
98,0101,38,1,19,2
98,0101,38,2,19,1
98,0101,38,2,21,1
98,0101,38,1,21,2
98,0101,38,1,22,1
98,0101,38,1,23,1
98,0101,38,2,24,1
98,0101,38,1,24,1
98,0101,38,2,25,1
98,0101,39,1,10,1
98,0101,39,1,11,2
98,0101,39,1,12,2
98,0101,39,1,14,1
98,0101,39,1,15,1
98,0101,39,2,16,1
98,0101,39,1,16,1
98,0101,39,2,17,3
98,0101,39,1,17,1
98,0101,39,1,22,1
98,0101,41,1,09,1
98,0101,41,1,10,1
98,0101,41,1,12,1
98,0101,41,1,13,2
98,0101,41,1,14,4
98,0101,41,2,14,2
98,0101,41,2,15,1
98,0101,41,1,15,2
98,0101,41,1,16,6
98,0101,41,2,17,1
98,0101,41,1,17,6
98,0101,41,2,18,4
98,0101,41,1,18,4
98,0101,41,1,19,4
98,0101,41,1,20,5
98,0101,41,2,20,3
98,0101,41,1,21,5
98,0101,41,2,21,6
98,0101,41,1,22,11
98,0101,41,2,22,4
98,0101,41,1,23,10
98,0101,41,2,23,13
98,0101,41,1,24,8
98,0101,41,2,24,9
98,0101,41,1,25,4
98,0101,41,2,25,5
98,0101,41,2,26,3
