year,county,cause,sex,age_code,N
89,0101,01,1,22,1
89,0101,02,2,19,1
89,0101,02,1,19,1
89,0101,02,1,20,2
89,0101,02,2,21,1
89,0101,02,1,22,1
89,0101,02,1,23,1
89,0101,02,2,23,1
89,0101,06,1,16,1
89,0101,06,1,21,2
89,0101,06,2,22,1
89,0101,06,1,22,1
89,0101,10,1,07,2
89,0101,10,1,08,1
89,0101,10,2,09,2
89,0101,10,1,09,1
89,0101,10,2,10,1
89,0101,10,2,11,1
89,0101,10,2,12,1
89,0101,10,1,12,5
89,0101,10,2,13,1
89,0101,10,1,13,4
89,0101,10,2,14,12
89,0101,10,1,14,9
89,0101,10,2,15,6
89,0101,10,1,15,12
89,0101,10,2,16,9
89,0101,10,1,16,8
89,0101,10,1,17,16
89,0101,10,2,17,12
89,0101,10,1,18,18
89,0101,10,2,18,14
89,0101,10,1,19,20
89,0101,10,2,19,14
89,0101,10,2,20,16
89,0101,10,1,20,22
89,0101,10,1,21,34
89,0101,10,2,21,13
89,0101,10,2,22,10
89,0101,10,1,22,18
89,0101,10,1,23,19
89,0101,10,2,23,5
89,0101,10,2,24,1
89,0101,10,1,24,2
89,0101,11,1,15,1
89,0101,11,1,16,1
89,0101,11,2,17,1
89,0101,11,1,17,1
89,0101,11,1,18,3
89,0101,11,1,19,4
89,0101,11,2,19,3
89,0101,11,2,20,3
89,0101,11,1,20,6
89,0101,11,2,21,6
89,0101,11,1,21,9
89,0101,11,1,22,6
89,0101,11,2,22,4
89,0101,11,2,23,4
89,0101,11,1,23,6
89,0101,11,2,24,4
89,0101,11,1,24,2
89,0101,14,1,14,1
89,0101,14,2,18,1
89,0101,14,1,19,1
89,0101,14,2,24,1
89,0101,15,1,17,1
89,0101,16,1,09,1
89,0101,16,2,13,1
89,0101,16,1,13,2
89,0101,16,1,15,1
89,0101,16,1,16,5
89,0101,16,2,16,1
89,0101,16,2,17,1
89,0101,16,2,18,1
89,0101,16,1,18,4
89,0101,16,1,19,3
89,0101,16,1,20,9
89,0101,16,2,20,1
89,0101,16,1,21,5
89,0101,16,2,21,2
89,0101,16,2,22,6
89,0101,16,1,22,9
89,0101,16,1,23,8
89,0101,16,2,23,7
89,0101,16,2,24,5
89,0101,16,1,24,1
89,0101,16,1,25,1
89,0101,16,1,26,1
89,0101,17,1,16,1
89,0101,17,1,18,1
89,0101,17,1,19,2
89,0101,17,1,20,1
89,0101,17,2,20,1
89,0101,17,2,21,2
89,0101,17,1,21,4
89,0101,17,1,22,4
89,0101,17,2,24,1
89,0101,18,1,13,1
89,0101,18,1,15,1
89,0101,18,2,15,2
89,0101,18,2,16,1
89,0101,18,1,16,2
89,0101,18,1,17,3
89,0101,18,2,18,1
89,0101,18,1,18,4
89,0101,18,1,19,8
89,0101,18,2,19,2
89,0101,18,2,20,7
89,0101,18,1,20,12
89,0101,18,2,21,8
89,0101,18,1,21,9
89,0101,18,2,22,10
89,0101,18,1,22,5
89,0101,18,1,23,14
89,0101,18,2,23,9
89,0101,18,1,24,3
89,0101,18,2,24,1
89,0101,18,2,25,1
89,0101,20,2,20,1
89,0101,20,1,20,4
89,0101,20,1,21,3
89,0101,20,1,22,2
89,0101,20,2,22,3
89,0101,20,2,23,1
89,0101,20,2,24,1
89,0101,20,1,24,1
89,0101,22,2,16,1
