year,county,cause,sex,age_code,N
85,0101,02,1,22,1
85,0101,06,1,11,1
85,0101,06,1,20,1
85,0101,06,1,21,2
85,0101,06,1,22,1
85,0101,06,2,23,1
85,0101,06,1,23,1
85,0101,10,2,07,1
85,0101,10,1,09,2
85,0101,10,1,11,3
85,0101,10,2,11,2
85,0101,10,1,12,1
85,0101,10,2,13,5
85,0101,10,1,13,6
85,0101,10,1,14,10
85,0101,10,2,14,4
85,0101,10,1,15,11
85,0101,10,2,15,6
85,0101,10,2,16,5
85,0101,10,1,16,6
85,0101,10,1,17,6
85,0101,10,2,17,10
85,0101,10,2,18,9
85,0101,10,1,18,13
85,0101,10,2,19,9
85,0101,10,1,19,21
85,0101,10,1,20,34
85,0101,10,2,20,17
85,0101,10,2,21,12
85,0101,10,1,21,23
85,0101,10,1,22,16
85,0101,10,2,22,10
85,0101,10,1,23,4
85,0101,10,2,23,5
85,0101,10,2,24,2
85,0101,10,1,24,1
85,0101,11,2,12,1
85,0101,11,1,14,1
85,0101,11,1,16,2
85,0101,11,2,17,1
85,0101,11,2,18,2
85,0101,11,1,18,1
85,0101,11,1,19,2
85,0101,11,2,19,4
85,0101,11,1,20,5
85,0101,11,2,20,4
85,0101,11,2,21,3
85,0101,11,1,21,2
85,0101,11,2,22,5
85,0101,11,2,23,3
85,0101,11,1,23,3
85,0101,11,2,24,1
85,0101,11,1,24,1
85,0101,15,1,06,1
85,0101,16,1,08,1
85,0101,16,1,12,1
85,0101,16,1,13,1
85,0101,16,1,15,3
85,0101,16,1,16,4
85,0101,16,2,16,1
85,0101,16,1,17,6
85,0101,16,2,17,4
85,0101,16,1,18,4
85,0101,16,2,18,1
85,0101,16,2,19,2
85,0101,16,1,19,6
85,0101,16,2,20,6
85,0101,16,1,20,12
85,0101,16,1,21,10
85,0101,16,2,21,5
85,0101,16,2,22,9
85,0101,16,1,22,9
85,0101,16,1,23,11
85,0101,16,2,23,2
85,0101,16,2,24,2
85,0101,16,1,24,2
85,0101,16,2,25,1
85,0101,16,2,26,1
85,0101,17,2,17,1
85,0101,17,1,18,1
85,0101,17,1,19,1
85,0101,17,2,20,2
85,0101,17,1,20,2
85,0101,17,1,21,4
85,0101,17,1,22,7
85,0101,17,2,23,2
85,0101,17,2,24,2
85,0101,17,1,24,2
85,0101,17,2,25,1
85,0101,18,1,12,1
85,0101,18,2,12,1
85,0101,18,2,13,1
85,0101,18,2,14,1
85,0101,18,1,14,3
85,0101,18,1,15,4
85,0101,18,2,15,2
85,0101,18,1,16,3
85,0101,18,1,17,2
85,0101,18,2,17,2
85,0101,18,2,18,1
85,0101,18,1,18,4
85,0101,18,1,19,5
85,0101,18,2,19,3
85,0101,18,2,20,8
85,0101,18,1,20,9
85,0101,18,1,21,8
85,0101,18,2,21,10
85,0101,18,1,22,12
85,0101,18,2,22,4
85,0101,18,2,23,5
85,0101,18,1,23,6
85,0101,18,2,24,1
85,0101,18,1,24,1
85,0101,18,2,25,2
85,0101,19,1,22,1
85,0101,20,1,13,1
85,0101,20,2,17,1
85,0101,20,1,18,1
85,0101,20,1,19,1
85,0101,20,2,20,1
85,0101,20,1,20,4
85,0101,20,1,21,3
85,0101,20,2,21,2
85,0101,20,2,22,4
85,0101,20,1,22,4
85,0101,20,1,23,2
85,0101,20,2,23,3
85,0101,20,2,24,5
85,0101,22,2,14,1
85,0101,22,1,17,1
85,0101,22,1,18,1
85,0101,22,2,18,1
85,0101,22,1,19,1
85,0101,22,2,20,1
85,0101,22,1,20,1
85,0101,22,2,21,5
85,0101,22,2,22,1
85,0101,22,1,23,1
85,0101,22,2,23,1
85,0101,22,2,24,1
85,0101,23,1,21,1
85,0101,23,2,23,2
85,0101,23,1,23,1
85,0101,23,1,24,1
85,0101,25,1,15,4
85,0101,25,1,16,2
85,0101,25,2,17,1
85,0101,25,1,17,3
85,0101,25,2,18,2
85,0101,25,1,18,2
85,0101,25,2,19,1
85,0101,25,2,20,1
85,0101,25,1,20,1
85,0101,25,2,21,1
85,0101,25,1,22,1
85,0101,26,2,18,1
85,0101,26,2,19,2
85,0101,26,2,20,2
85,0101,26,2,21,1
85,0101,26,1,21,1
85,0101,26,2,22,1
85,0101,26,1,22,6
85,0101,26,2,23,3
85,0101,26,1,23,2
85,0101,30,2,01,1
85,0101,30,1,01,1
85,0101,30,2,02,1
85,0101,30,1,02,3
85,0101,30,1,03,1
85,0101,30,1,04,2
85,0101,30,1,05,1
85,0101,30,1,09,1
85,0101,31,1,01,1
85,0101,31,2,01,3
85,0101,31,1,02,1
85,0101,32,2,01,1
85,0101,32,2,02,1
85,0101,32,2,09,1
85,0101,32,1,09,2
85,0101,32,1,10,2
85,0101,32,2,11,2
85,0101,32,1,12,6
85,0101,32,1,13,8
85,0101,32,2,13,1
85,0101,32,1,14,2
85,0101,32,1,15,3
85,0101,32,2,16,2
85,0101,32,1,16,1
85,0101,32,2,17,2
85,0101,32,1,17,3
85,0101,32,1,18,2
85,0101,32,2,19,1
85,0101,32,1,19,2
85,0101,32,1,20,1
85,0101,32,2,20,1
85,0101,32,1,21,2
85,0101,32,2,22,2
85,0101,32,1,22,2
85,0101,33,1,10,1
85,0101,33,2,12,1
85,0101,33,1,12,1
85,0101,33,1,13,2
85,0101,33,2,14,1
85,0101,33,1,14,2
85,0101,33,1,15,2
85,0101,33,2,17,1
85,0101,33,1,17,2
85,0101,33,2,20,1
85,0101,33,2,24,1
85,0101,35,1,01,1
85,0101,35,2,02,1
85,0101,35,1,03,1
85,0101,35,2,04,1
85,0101,35,1,04,1
85,0101,35,1,05,1
85,0101,35,2,07,1
85,0101,35,2,08,1
85,0101,35,1,09,3
85,0101,35,2,10,3
85,0101,35,2,11,1
85,0101,35,1,11,1
85,0101,35,2,12,2
85,0101,35,1,12,1
85,0101,35,1,13,1
85,0101,35,1,14,3
85,0101,35,2,15,4
85,0101,35,1,15,4
85,0101,35,2,16,1
85,0101,35,1,16,2
85,0101,35,2,17,1
