,ward code,Obesity Prevalence
0,E05000026,0.42713693
1,E05000027,0.8729308
2,E05000028,0.35720986
3,E05000029,0.42139536
4,E05000030,0.8402203
5,E05000031,0.36605185
6,E05000032,0.7031397
7,E05000033,0.5492098
8,E05000034,0.39627954
9,E05000035,0.40697673
10,E05000036,0.8328046
11,E05000037,0.47251853
12,E05000038,0.5169855
13,E05000039,0.18617073
14,E05000040,0.45627907
15,E05000041,0.37902236
16,E05000042,0.20422292
17,E05000043,0.42415866
18,E05000044,0.79115134
19,E05000045,0.5912686
20,E05000046,0.26434717
21,E05000047,0.37630343
22,E05000048,0.6903367
23,E05000049,0.6841179
24,E05000050,0.4432064
25,E05000051,0.486024
26,E05000052,0.16744186
27,E05000053,0.29990837
28,E05000054,0.3022465
29,E05000055,0.58757347
30,E05000056,0.31595767
31,E05000057,0.18232559
32,E05000058,0.705449
33,E05000059,0.6980433
34,E05000060,0.40401378
35,E05000061,0.3079054
36,E05000062,0.0
37,E05000063,0.5334547
38,E05000064,0.49721345
39,E05000065,0.5859505
40,E05000066,0.36611634
41,E05000067,0.48328322
42,E05000068,0.0
43,E05000069,0.3799926
44,E05000070,0.08523342
45,E05000071,0.43208584
46,E05000072,0.5602384
47,E05000073,0.78561413
48,E05000074,0.6227485
49,E05000075,0.32263127
50,E05000076,0.14852053
51,E05000077,0.2246379
52,E05000078,0.40073785
53,E05000079,0.83531535
54,E05000080,0.50982213
55,E05000081,0.31679064
56,E05000082,0.24481398
57,E05000083,0.5360322
58,E05000084,0.0
59,E05000085,0.34642398
60,E05000086,0.80700517
61,E05000087,0.23930219
62,E05000088,0.3688386
63,E05000089,0.31135273
64,E05000090,0.5301563
65,E05000091,0.22457382
66,E05000092,0.43066978
67,E05000093,0.3427907
68,E05000094,0.41841966
69,E05000095,0.17815238
70,E05000096,0.5115825
71,E05000097,0.5744715
72,E05000098,0.20418605
73,E05000099,0.33813953
74,E05000100,0.5453503
75,E05000101,0.514179
76,E05000102,0.37504575
77,E05000103,0.6977318
78,E05000104,0.32882082
79,E05000105,0.25244337
80,E05000106,0.32519397
81,E05000107,0.36958364
82,E05000108,0.3796829
83,E05000109,0.2542548
84,E05000110,0.19953488
85,E05000111,0.6105862
86,E05000112,0.46100926
87,E05000113,0.57477313
88,E05000114,0.530928
89,E05000115,0.33070254
90,E05000116,0.7080453
91,E05000117,0.0
92,E05000118,0.81513995
93,E05000119,0.7003458
94,E05000120,0.31574336
95,E05000121,0.56836593
96,E05000122,0.38450474
97,E05000123,0.28572398
98,E05000124,0.7996893
99,E05000125,0.34837222
100,E05000126,0.0
101,E05000127,0.25508708
102,E05000128,0.16651163
103,E05000129,0.16465127
104,E05000130,0.14666528
105,E05000131,0.46723315
106,E05000132,0.6184761
107,E05000133,0.38138714
