,ward code,Obesity Prevalence
246,E05000272,0.163843
247,E05000273,0.6809732
248,E05000274,0.7817383
249,E05000275,0.25709206
250,E05000276,0.43764958
251,E05000277,0.556088
252,E05000278,0.75392854
253,E05000279,0.0
254,E05000280,0.53534883
255,E05000281,0.35955215
256,E05000282,0.1720806
257,E05000283,0.44673488
258,E05000284,0.79925513
259,E05000285,0.632756
260,E05000286,0.0
261,E05000287,0.20382324
262,E05000288,0.27233493
263,E05000289,0.3691216
264,E05000290,0.58053684
265,E05000291,0.7386884
266,E05000292,0.7066065
267,E05000293,0.3109219
268,E05000294,0.54859185
269,E05000295,0.3283571
270,E05000296,0.23116279
271,E05000297,0.33684328
272,E05000298,0.6348109
273,E05000299,0.45507234
274,E05000300,0.49493742
275,E05000301,0.4626531
276,E05000302,0.5143195
277,E05000303,0.0
278,E05000304,0.51926404
279,E05000305,0.72219926
280,E05000306,0.34991926
281,E05000307,0.34886268
282,E05000308,0.83632624
283,E05000309,0.5094869
284,E05000310,0.23594612
285,E05000311,0.3725291
286,E05000312,0.53554535
287,E05000313,0.69095194
288,E05000314,0.29959822
289,E05000315,0.3380929
290,E05000316,0.6417138
291,E05000317,0.5841224
292,E05000318,0.4248931
293,E05000319,0.7101817
294,E05000320,0.59429854
295,E05000321,0.44993544
296,E05000322,0.2914039
297,E05000323,0.37348837
298,E05000324,0.3992731
299,E05000325,0.28976035
300,E05000326,0.18960178
301,E05000327,0.3461005
302,E05000328,0.6211658
303,E05000329,0.26092818
304,E05000330,0.41787472
305,E05000331,0.6900881
306,E05000332,0.20930232
307,E05000333,0.49021813
308,E05000334,0.5162797
309,E05000335,0.35613883
310,E05000336,0.35712895
311,E05000337,0.39486545
312,E05000338,0.3161636
313,E05000339,0.45860466
314,E05000340,0.35255814
315,E05000341,0.4562214
316,E05000342,0.45627907
317,E05000343,0.62311745
318,E05000344,0.34645122
319,E05000345,0.51768273
320,E05000346,0.26087037
321,E05000347,0.19959715
322,E05000348,0.51561433
323,E05000349,0.19621691
324,E05000350,0.77674073
325,E05000351,0.38140553
326,E05000352,0.5151931
327,E05000353,0.54232556
328,E05000354,0.6039076
329,E05000355,0.46006015
330,E05000356,0.45967355
