,ward code,Obesity Prevalence
0,E05000026,0.4271487
1,E05000027,0.87293094
2,E05000028,0.35720944
3,E05000029,0.3915438
4,E05000030,0.8402203
5,E05000031,0.36605138
6,E05000032,0.7031393
7,E05000033,0.54921174
8,E05000034,0.39627993
9,E05000035,0.4723816
10,E05000036,0.8328046
11,E05000037,0.47251934
12,E05000038,0.5169869
13,E05000039,0.18617076
14,E05000040,0.43119827
15,E05000041,0.37902197
16,E05000042,0.20421952
17,E05000043,0.42417264
18,E05000044,0.79115254
19,E05000045,0.3172093
20,E05000046,0.26435256
21,E05000047,0.3763034
22,E05000048,0.6903379
23,E05000049,0.6841189
24,E05000050,0.44320637
25,E05000051,0.4860243
26,E05000052,0.7293405
27,E05000053,0.2999084
28,E05000054,0.30224553
29,E05000055,0.5875654
30,E05000056,0.31595796
31,E05000057,0.2772861
32,E05000058,0.705449
33,E05000059,0.6980439
34,E05000060,0.40401375
35,E05000061,0.30789912
36,E05000062,0.2907384
37,E05000063,0.5334549
38,E05000064,0.4972093
39,E05000065,0.5859534
40,E05000066,0.36611515
41,E05000067,0.48328686
42,E05000068,0.41506135
43,E05000069,0.0
44,E05000070,0.0
45,E05000071,0.43208584
46,E05000072,0.5602384
47,E05000073,0.7856047
48,E05000074,0.62274826
49,E05000075,0.32263172
50,E05000076,0.14852053
51,E05000077,0.22463763
52,E05000078,0.40073788
53,E05000079,0.8353147
54,E05000080,0.5098219
55,E05000081,0.3167906
56,E05000082,0.24480742
57,E05000083,0.0
58,E05000084,0.73215145
59,E05000085,0.34642386
60,E05000086,0.8070058
61,E05000087,0.2393024
62,E05000088,0.36883923
63,E05000089,0.31135267
64,E05000090,0.53015095
65,E05000091,0.22457582
66,E05000092,0.41488373
67,E05000093,0.43430647
68,E05000094,0.4184191
69,E05000095,0.34139535
70,E05000096,0.51158077
71,E05000097,0.5744687
72,E05000098,0.6949951
73,E05000099,0.28643736
74,E05000100,0.49953488
75,E05000101,0.51417905
76,E05000102,0.37504554
77,E05000103,0.697727
78,E05000104,0.19441861
79,E05000105,0.25244337
80,E05000106,0.32518917
81,E05000107,0.36958367
82,E05000108,0.379683
83,E05000109,0.25425458
84,E05000110,0.59634376
85,E05000111,0.6105862
86,E05000112,0.46101367
87,E05000113,0.5747732
88,E05000114,0.5309282
89,E05000115,0.33070058
90,E05000116,0.70805305
91,E05000117,0.0
92,E05000118,0.81513965
93,E05000119,0.70034397
94,E05000120,0.3157434
95,E05000121,0.56835806
96,E05000122,0.38450354
97,E05000123,0.28572288
98,E05000124,0.4232558
99,E05000125,0.34837255
100,E05000126,0.0
101,E05000127,0.2550872
102,E05000128,0.61976963
103,E05000129,0.16465104
104,E05000130,0.14666647
105,E05000131,0.467235
106,E05000132,0.618476
107,E05000133,0.25674418
108,E05000134,0.4862091
109,E05000135,0.32186046
110,E05000136,0.5444748
111,E05000137,0.31255692
112,E05000138,0.22627902
113,E05000139,0.23622143
114,E05000140,0.29045582
115,E05000141,0.4985173
116,E05000142,0.2995349
117,E05000143,0.5985132
118,E05000144,0.3864434
119,E05000145,0.60140395
120,E05000146,0.8311238
121,E05000147,0.5648662
122,E05000148,0.1883924
123,E05000149,0.43495017
124,E05000150,0.69669783
125,E05000151,0.3766386
126,E05000152,0.33395463
127,E05000153,0.27162796
128,E05000154,0.56883967
129,E05000155,0.47343144
130,E05000156,0.2732051
131,E05000157,0.34311432
132,E05000158,0.26845413
133,E05000159,0.5110242
134,E05000160,0.0
135,E05000161,0.50604606
136,E05000162,0.88246137
137,E05000163,0.6070466
138,E05000164,0.5622962
139,E05000165,0.69237417
140,E05000166,0.7663124
141,E05000167,0.32388556
142,E05000168,0.75682443
143,E05000169,0.6091462
144,E05000170,0.25472146
145,E05000171,0.34670377
146,E05000172,0.6510792
147,E05000173,0.6081821
148,E05000174,0.7101679
149,E05000175,0.8223691
150,E05000176,0.36538243
151,E05000177,0.25828326
152,E05000178,0.45502564
153,E05000179,0.24965888
154,E05000180,0.7092459
155,E05000181,0.3855814
156,E05000182,0.6785298
157,E05000183,0.3655818
158,E05000184,0.65154237
159,E05000185,0.73601735
160,E05000186,0.7771648
161,E05000187,0.39841527
162,E05000188,0.32965118
163,E05000189,0.3928041
164,E05000190,0.33906975
165,E05000191,0.37107766
166,E05000192,0.31820822
167,E05000193,0.52372104
168,E05000194,0.38289464
169,E05000195,0.5969517
170,E05000196,0.43896848
171,E05000197,0.78302646
172,E05000198,0.24355987
173,E05000199,0.6098302
174,E05000200,0.26103482
175,E05000201,0.32874295
176,E05000202,0.32491767
177,E05000203,0.4172093
178,E05000204,0.16099802
179,E05000205,0.27953488
180,E05000206,0.39346218
181,E05000207,0.2701782
182,E05000208,0.33115757
183,E05000209,0.3944186
184,E05000210,0.5317888
185,E05000211,0.5316279
186,E05000212,0.824031
187,E05000213,0.49470037
188,E05000214,0.6379199
189,E05000215,0.54578584
190,E05000216,0.59344494
191,E05000217,0.5824376
192,E05000218,0.38930058
193,E05000219,0.63727814
194,E05000220,0.57431024
195,E05000221,0.48201984
196,E05000222,0.25717098
197,E05000223,0.59071666
198,E05000224,0.5557928
199,E05000225,0.36264187
200,E05000226,0.4819682
201,E05000227,0.6174073
202,E05000228,0.4012648
203,E05000229,0.7682458
204,E05000230,0.5271305
205,E05000231,0.6493034
206,E05000232,0.4815254
207,E05000233,0.33912408
208,E05000234,0.59901553
209,E05000235,0.528438
210,E05000236,0.59261787
211,E05000237,0.7702294
212,E05000238,0.49916974
213,E05000239,0.0
214,E05000240,0.9090158
215,E05000241,0.53970337
216,E05000242,0.37067753
217,E05000243,0.63178736
218,E05000244,0.7095748
219,E05000245,0.10540828
220,E05000246,0.53488696
221,E05000247,0.21856198
222,E05000248,0.0
223,E05000249,0.1858876
224,E05000250,0.24465084
225,E05000251,0.45107043
226,E05000252,0.20930418
227,E05000253,0.4689823
228,E05000254,0.5433768
229,E05000255,0.7747376
230,E05000256,0.604547
231,E05000257,0.14942354
232,E05000258,0.73552907
233,E05000259,0.41017568
234,E05000260,0.33599895
235,E05000261,0.33649018
236,E05000262,0.30295405
237,E05000263,0.48071715
238,E05000264,0.36182073
239,E05000265,0.271883
240,E05000266,0.48936376
241,E05000267,0.5239549
242,E05000268,0.32138854
243,E05000269,0.45580223
244,E05000270,0.4905178
