,ward code,Obesity Prevalence
0,E05000026,0.42714822
1,E05000027,0.8460465
2,E05000028,0.3572095
3,E05000029,0.39651906
4,E05000030,0.8402203
5,E05000031,0.3660519
6,E05000032,0.7031397
7,E05000033,0.5492089
8,E05000034,0.3962795
9,E05000035,0.46148098
10,E05000036,0.8328046
11,E05000037,0.6134884
12,E05000038,0.5169871
13,E05000039,0.23266461
14,E05000040,0.4353865
15,E05000041,0.37902203
16,E05000042,0.20422065
17,E05000043,0.4241454
18,E05000044,0.79115283
19,E05000045,0.59126854
20,E05000046,0.2643519
21,E05000047,0.37630346
22,E05000048,0.6470665
23,E05000049,0.6841188
24,E05000050,0.42161912
25,E05000051,0.20139535
26,E05000052,0.6356907
27,E05000053,0.29990834
28,E05000054,0.3022455
29,E05000055,0.58756953
30,E05000056,0.31595814
31,E05000057,0.26145935
32,E05000058,0.6473948
33,E05000059,0.69804335
34,E05000060,0.40401375
35,E05000061,0.3078997
36,E05000062,0.2907384
37,E05000063,0.5334528
38,E05000064,0.49721
39,E05000065,0.5859551
40,E05000066,0.36611548
41,E05000067,0.48328614
42,E05000068,0.41506135
43,E05000069,0.0
44,E05000070,0.0
45,E05000071,0.43208584
46,E05000072,0.56021726
47,E05000073,0.78561294
48,E05000074,0.6227482
49,E05000075,0.3226302
50,E05000076,0.0
51,E05000077,0.22463694
52,E05000078,0.40073788
53,E05000079,0.8353152
54,E05000080,0.5098186
55,E05000081,0.31679064
56,E05000082,0.24480891
57,E05000083,0.5360094
58,E05000084,0.7321497
59,E05000085,0.22325581
60,E05000086,0.80700386
61,E05000087,0.23930088
62,E05000088,0.3688398
63,E05000089,0.6683721
64,E05000090,0.53015715
65,E05000091,0.22457322
66,E05000092,0.43066952
67,E05000093,0.41905326
68,E05000094,0.41841966
69,E05000095,0.17815232
70,E05000096,0.5115802
71,E05000097,0.53532773
72,E05000098,0.6131934
73,E05000099,0.37209302
74,E05000100,0.54535085
75,E05000101,0.51417905
76,E05000102,0.37504566
77,E05000103,0.6977321
78,E05000104,0.32882074
79,E05000105,0.25244337
80,E05000106,0.325199
81,E05000107,0.3695836
82,E05000108,0.47674417
83,E05000109,0.25425458
84,E05000110,0.53021467
85,E05000111,0.57113326
86,E05000112,0.46101293
87,E05000113,0.57477087
88,E05000114,0.5309278
89,E05000115,0.48139536
90,E05000116,0.70805174
91,E05000117,0.0
92,E05000118,0.7581588
93,E05000119,0.7003454
94,E05000120,0.3157434
95,E05000121,0.0
96,E05000122,0.3845011
97,E05000123,0.28572345
98,E05000124,0.7996892
99,E05000125,0.34837103
100,E05000126,0.48371327
101,E05000127,0.25508714
102,E05000128,0.20883721
103,E05000129,0.16465107
104,E05000130,0.14666617
105,E05000131,0.46723345
106,E05000132,0.6184695
107,E05000133,0.3813873
108,E05000134,0.48621297
109,E05000135,0.20418605
110,E05000136,0.54447186
111,E05000137,0.29201412
112,E05000138,0.22627702
113,E05000139,0.23622143
114,E05000140,0.29045677
115,E05000141,0.46703896
116,E05000142,0.4124521
117,E05000143,0.59851295
118,E05000144,0.38644347
119,E05000145,0.60140395
120,E05000146,0.8311247
121,E05000147,0.56486785
122,E05000148,0.18839246
123,E05000149,0.43495017
124,E05000150,0.6966979
125,E05000151,0.3766389
126,E05000152,0.33395478
127,E05000153,0.27162793
128,E05000154,0.568838
129,E05000155,0.4734308
130,E05000156,0.27320492
