,ward code,Obesity Prevalence
0,E05000026,0.44674072
1,E05000027,0.87293005
2,E05000028,0.3572093
3,E05000029,0.39154333
4,E05000030,0.8402196
5,E05000031,0.36604849
6,E05000032,0.52465117
7,E05000033,0.54921377
8,E05000034,0.45488372
9,E05000035,0.47238156
10,E05000036,0.83280456
11,E05000037,0.4816537
12,E05000038,0.5716279
13,E05000039,0.186171
14,E05000040,0.45209303
15,E05000041,0.3790225
16,E05000042,0.2042217
17,E05000043,0.4241558
18,E05000044,0.79115295
19,E05000045,0.786068
20,E05000046,0.30418605
21,E05000047,0.37630332
22,E05000048,0.69033676
23,E05000049,0.6841178
24,E05000050,0.4651163
25,E05000051,0.55392385
26,E05000052,0.72934043
27,E05000053,0.29990846
28,E05000054,0.31476665
29,E05000055,0.68001777
30,E05000056,0.32465115
31,E05000057,0.27727795
32,E05000058,0.705449
33,E05000059,0.69804317
34,E05000060,0.48997423
35,E05000061,0.307907
36,E05000062,0.29073834
37,E05000063,0.5334548
38,E05000064,0.4972093
39,E05000065,0.0
40,E05000066,0.3661154
41,E05000067,0.4832846
42,E05000068,0.41506144
43,E05000069,0.38000336
44,E05000070,0.08522916
45,E05000071,0.4320862
46,E05000072,0.56024104
47,E05000073,0.0
48,E05000074,0.62274826
49,E05000075,0.32263094
50,E05000076,0.0
51,E05000077,0.22463688
52,E05000078,0.40073794
53,E05000079,0.0
54,E05000080,0.5098223
55,E05000081,0.3167906
56,E05000082,0.24480799
57,E05000083,0.53603333
58,E05000084,0.73215234
59,E05000085,0.3464234
60,E05000086,0.8070049
61,E05000087,0.23953488
62,E05000088,0.36883578
63,E05000089,0.34377325
64,E05000090,0.5301577
65,E05000091,0.22457188
66,E05000092,0.45959932
67,E05000093,0.43430528
68,E05000094,0.41841897
69,E05000095,0.13734129
70,E05000096,0.51158524
71,E05000097,0.7012432
72,E05000098,0.6949943
73,E05000099,0.2864374
74,E05000100,0.5570665
75,E05000101,0.5582843
76,E05000102,0.3750454
