year,Obesity Prevalence_min,Obesity Prevalence_mean,Obesity Prevalence_var,iterations,hint_rate
2008-2008,0.11740825484128425,0.12834685855930775,0.0004900676737942337,1500,0.7
2008-2008,0.08868029693443671,0.09886111453896047,0.0004258486684207874,,
2008-2008,0.30398882979814784,0.3203143416710693,0.0011122419510065835,,
