year,Obesity Prevalence_min,Obesity Prevalence_mean,Obesity Prevalence_var,RMSE_list,MAPE_list
2008-2017,0.19254966713726232,0.19334065796829453,1.975930933131895e-06,"[0.19562802308218236, 0.19254966713726232, 0.19428503424511495, 0.19184508202789186, 0.192395483349021]","[0.38465493030903536, 0.3837758354787106, 0.3817519113373371, 0.3839515338805296, 0.38674192727658796]"
2008-2017,0.14407445785345674,0.14515430143014682,1.7625327746672055e-06,,
2008-2017,0.3837758354787106,0.3841752276564402,2.5800153148835245e-06,,
