year,Obesity Prevalence_min,Obesity Prevalence_mean,Obesity Prevalence_var,RMSE_list,MAPE_list
2008-2009,0.17336919125487496,0.17714062989185492,6.913049126224937e-06,"[0.17336919125487496, 0.17682707111573492, 0.18141335169977707, 0.17605444585641986, 0.1780390895324677]","[0.4484669429032159, 0.45079431716082197, 0.46657966061143435, 0.42001993782608577, 0.4664141937745662]"
2008-2009,0.13897701359759765,0.14156212152379588,4.853239893224122e-06,,
2008-2009,0.4484669429032159,0.45045501045522485,0.00028901221249065523,,
