year,Obesity Prevalence_min,Obesity Prevalence_mean,Obesity Prevalence_var,RMSE_list,MAPE_list
2008-2011,0.18082597754073892,0.18351585933946413,4.51755345135251e-06,"[0.18238603825360908, 0.18082597754073892, 0.18342748190498695, 0.18367665509030512, 0.18726314390768062]","[0.42715290891494906, 0.41675523350308635, 0.43137091255741156, 0.421787149565246, 0.4287868138387884]"
2008-2011,0.14255040723467047,0.1446279586708422,6.592760875783669e-06,,
2008-2011,0.41675523350308635,0.4251706036758963,2.7543311418694604e-05,,
