year,Obesity Prevalence_min,Obesity Prevalence_mean,Obesity Prevalence_var,RMSE_list,MAPE_list
2008-2016,0.18845093231538645,0.19019246050653443,1.6996770236182555e-06,"[0.1917743827510825, 0.18845093231538645, 0.18960593685440627, 0.19164733444021406, 0.18948371617158286]","[0.4285025177799933, 0.414788041783878, 0.4231051409634683, 0.41778428149307323, 0.41363724242906724]"
2008-2016,0.14320687293255654,0.14505182175346393,1.635145286176574e-06,,
2008-2016,0.414788041783878,0.419563444889896,3.070808160726465e-05,,
