year,Obesity Prevalence_min,Obesity Prevalence_mean,Obesity Prevalence_var,RMSE_list,MAPE_list
2008-2012,0.14028765685848843,0.14587283993694433,1.80581815368609e-05,"[0.1500699535818123, 0.14124546533588947, 0.14987441696156054, 0.14788670694697095, 0.14028765685848843]","[0.4389823559745849, 0.4164269641803669, 0.4230216961614475, 0.4077957467787799, 0.3960133609865424]"
2008-2012,0.10737726495061546,0.11186028676726958,1.4388255112205471e-05,,
2008-2012,0.3960133609865424,0.4164480248163443,0.0002086894160658813,,
