year,Obesity Prevalence_min,Obesity Prevalence_mean,Obesity Prevalence_var,RMSE_list,MAPE_list
2008-2010,0.1759588116984712,0.17962384173931498,9.543875382685081e-06,"[0.18335513744692913, 0.18310133737839368, 0.17685389644939287, 0.1759588116984712, 0.178850025723388]","[0.41928341143227366, 0.43474317051064965, 0.4192288095859449, 0.3988106906195916, 0.3914629728665037]"
2008-2010,0.13627187078160505,0.14048910049541435,1.4168702692957477e-05,,
2008-2010,0.3988106906195916,0.41270581100299275,0.00024315841891049396,,
