year,Obesity Prevalence_min,Obesity Prevalence_mean,Obesity Prevalence_var,RMSE_list,MAPE_list
2008-2015,0.19961371784969176,0.20142706728125687,3.13859151892897e-06,"[0.2045521515148273, 0.20040016844132058, 0.20216313748360057, 0.2004061611168441, 0.19961371784969176]","[0.47297186715248424, 0.4721305201587923, 0.47667588896395835, 0.46900225681176816, 0.44399557680465157]"
2008-2015,0.15127722263280396,0.15525891221867608,5.875560387401392e-06,,
2008-2015,0.44399557680465157,0.46695522197833095,0.00013776215103287586,,
