year,Obesity Prevalence_min,Obesity Prevalence_mean,Obesity Prevalence_var,RMSE_list,MAPE_list
2008-2013,0.15992681454313268,0.16187657391986016,2.4023615560324858e-06,"[0.16107627288329784, 0.16459865049398276, 0.15992681454313268, 0.16160801320639226, 0.1621731184724953]","[0.46863496577493957, 0.48392625803111106, 0.45372798670034403, 0.47530672806590174, 0.46635369772601193]"
2008-2013,0.1271912012085112,0.12975291056397023,3.0495235946095724e-06,,
2008-2013,0.45372798670034403,0.4695899272596617,0.00010023969655714581,,
