,ward code,Obesity Prevalence
0,E05000026,0.29831318904017345
1,E05000027,0.2876898723781552
2,E05000028,0.3548706847136653
3,E05000029,0.29903101034467794
4,E05000030,0.2743474225843775
5,E05000031,0.2795534883353148
6,E05000032,0.30944160882682437
7,E05000033,0.3057940180222765
8,E05000034,0.3511543966554719
9,E05000035,0.14029746671126822
10,E05000036,0.35300636259093654
11,E05000037,0.26971553312607055
12,E05000038,0.38173052944381425
13,E05000039,0.511627907
14,E05000040,0.33572891521995
15,E05000041,0.24568979114293021
16,E05000042,0.2685712557156969
17,E05000043,0.28794667471426705
18,E05000044,0.27730302037514687
19,E05000045,0.27108153579961647
20,E05000046,0.17907374330627393
21,E05000047,0.20950658312934556
22,E05000048,0.38744186
23,E05000049,0.24649373419111217
24,E05000050,0.292093023
25,E05000051,0.2853547182640707
26,E05000052,0.3119144469043579
27,E05000053,0.2683791330488183
28,E05000054,0.20536020523233356
29,E05000055,0.2544672532480184
30,E05000056,0.34099110012907563
31,E05000057,0.24762606872775123
32,E05000058,0.299069767
33,E05000059,0.11569316160339699
34,E05000060,0.2919737800197827
35,E05000061,0.0852568926335092
36,E05000062,0.21574839107651328
37,E05000063,0.33432453320436095
38,E05000064,0.3503110323879369
39,E05000065,0.1792377636079499
40,E05000066,0.32319627134814066
41,E05000067,0.1023601806592473
42,E05000068,0.22373370162589637
43,E05000069,0.15362175496078517
44,E05000070,0.2202875412660205
45,E05000071,0.32776448522571244
46,E05000072,0.3141977921032643
47,E05000073,0.06494832675728958
48,E05000074,0.33833166137616505
49,E05000075,0.3502790320170311
50,E05000076,0.13352627103351447
51,E05000077,0.14249310705493412
52,E05000078,0.20406467073370743
53,E05000079,0.11600612366709823
54,E05000080,0.0
55,E05000081,0.27666643615048003
56,E05000082,0.295599113791859
57,E05000083,0.22480694075027333
58,E05000084,0.20171451874134447
59,E05000085,0.1938329153873176
60,E05000086,0.21564017955305828
61,E05000087,0.23341153747719232
62,E05000088,0.35817989153719804
63,E05000089,0.22676495950213862
64,E05000090,0.25188501035059335
65,E05000091,0.21997879655834013
66,E05000092,0.26153261470746997
67,E05000093,0.2876582178813135
68,E05000094,0.3085247766961565
69,E05000095,0.29543696313182133
70,E05000096,0.3252453011034504
71,E05000097,0.30046511600000003
72,E05000098,0.27706294781046237
73,E05000099,0.35209302299999995
74,E05000100,0.31733892651174184
75,E05000101,0.1698986067813183
76,E05000102,0.2812886254495491
77,E05000103,0.296145343125492
78,E05000104,0.12539528812233722
79,E05000105,0.4389524016727497
80,E05000106,0.2723097442346714
81,E05000107,0.35382255429136766
82,E05000108,0.3009656900356505
83,E05000109,0.22915812299460112
84,E05000110,0.31094436751095994
85,E05000111,0.334418605
86,E05000112,0.31027152732626895
87,E05000113,0.3046855015171257
88,E05000114,0.23126574900494523
89,E05000115,0.2122296481339955
90,E05000116,0.20955872547293178
91,E05000117,0.21446538526586784
92,E05000118,0.41627907
93,E05000119,0.3840620859869637
94,E05000120,0.2413848077616153
95,E05000121,0.10798998729118855
96,E05000122,0.3236413802646616
97,E05000123,0.21598531296133214
98,E05000124,0.0924864924906618
99,E05000125,0.18116404654529816
100,E05000126,0.2020679870792375
101,E05000127,0.2929054401342714
102,E05000128,0.2769748686602799
103,E05000129,0.2262931651682489
104,E05000130,0.08091479663035792
105,E05000131,0.26038312405593916
106,E05000132,0.22858075643242803
107,E05000133,0.30735061099507793
108,E05000134,0.15471242606752758
109,E05000135,0.33081502918250877
110,E05000136,0.31031644647709966
111,E05000137,0.3321815382776583
112,E05000138,0.20903934109945355
113,E05000139,0.2783842603232278
114,E05000140,0.29456273447903164
115,E05000141,0.278139535
116,E05000142,0.17225543091451775
117,E05000143,0.27982990714309247
118,E05000144,0.23607092778069516
119,E05000145,0.2680533857922501
120,E05000146,0.46126188293434534
121,E05000147,0.14094281793802252
122,E05000148,0.13610052436101347
123,E05000149,0.21472900936330153
124,E05000150,0.29000699585406176
125,E05000151,0.31637783999564834
126,E05000152,0.3771472118497857
127,E05000153,0.2800026107105879
128,E05000154,0.32254462754266194
129,E05000155,0.0
130,E05000156,0.42387923087063867
131,E05000157,0.10061929867499515
132,E05000158,0.2747755368782056
133,E05000159,0.07602848215313684
134,E05000160,0.0
135,E05000161,0.2099638558184119
136,E05000162,0.22194429503531615
137,E05000163,0.12397767133433789
138,E05000164,0.30249339828646726
139,E05000165,0.12046685983981135
140,E05000166,0.15564041968531706
141,E05000167,0.22184464003543622
142,E05000168,0.21360841544999382
143,E05000169,0.30461917885960305
144,E05000170,0.271667508535228
145,E05000171,0.27582676066436035
146,E05000172,0.2606091354502304
147,E05000173,0.20046511600000003
148,E05000174,0.3041839197162203
149,E05000175,0.23215217148841544
150,E05000176,0.2762969351145594
151,E05000177,0.11746758685839423
152,E05000178,0.0975369384256197
153,E05000179,0.2618481929324346
154,E05000180,0.22629746009893056
155,E05000181,0.39860465100000003
156,E05000182,0.2019555312836145
157,E05000183,0.22526298207873013
158,E05000184,0.27588534139875526
159,E05000185,0.3150545231536274
160,E05000186,0.20340877485380396
161,E05000187,0.23689995880575165
162,E05000188,0.318139535
163,E05000189,0.2522362822966278
164,E05000190,0.14549728543794127
165,E05000191,0.2342987508249932
166,E05000192,0.19604486175530111
167,E05000193,0.31852219478515076
168,E05000194,0.21016119458706076
169,E05000195,0.21377236503720226
170,E05000196,0.1744119124900046
171,E05000197,0.2031706908028527
172,E05000198,0.373488372
173,E05000199,0.208564562422764
174,E05000200,0.32280552878036894
175,E05000201,0.24265178256443873
176,E05000202,0.3142383661600782
177,E05000203,0.1465521707798179
178,E05000204,0.2895997329633376
179,E05000205,0.29259005852248726
180,E05000206,0.2904406654269854
181,E05000207,0.2746256253092165
182,E05000208,0.29364871304753265
183,E05000209,0.21209225042827093
184,E05000210,0.27750460265915694
185,E05000211,0.35253001939187967
186,E05000212,0.30780044084638825
187,E05000213,0.3023062127747344
188,E05000214,0.27874449266716683
189,E05000215,0.3676124166253207
190,E05000216,0.3497685884859196
191,E05000217,0.4034419117721339
192,E05000218,0.04229106900216548
193,E05000219,0.2585292969872045
194,E05000220,0.2839584105564953
195,E05000221,0.2495121412719256
196,E05000222,0.3329704341059934
197,E05000223,0.2358878965676422
198,E05000224,0.08887496556315101
199,E05000225,0.33991175994720685
200,E05000226,0.599534884
201,E05000227,0.17441300412364608
202,E05000228,0.18772222028639174
203,E05000229,0.2921190280601951
204,E05000230,0.23715488078007052
205,E05000231,0.1675493999370173
206,E05000232,0.09677337566716712
207,E05000233,0.33596479242382127
208,E05000234,0.2311349673708997
209,E05000235,0.30345262420562746
210,E05000236,0.0
211,E05000237,0.15195066154943784
212,E05000238,0.18743803617795932
213,E05000239,0.23932697982988263
214,E05000240,0.09683067385871935
215,E05000241,0.24038543686301403
216,E05000242,0.0
217,E05000243,0.40695149036441447
218,E05000244,0.22614760587106802
219,E05000245,0.3583224786402392
220,E05000246,0.04714886490268949
221,E05000247,0.1140765587672095
222,E05000248,0.1455762827118624
223,E05000249,0.23417014776071626
224,E05000250,0.2840245223309301
225,E05000251,0.19926900201773853
226,E05000252,0.09347397641037321
227,E05000253,0.2971357526316177
228,E05000254,0.23738898914662632
229,E05000255,0.34698934819934574
230,E05000256,0.24139534899999998
231,E05000257,0.3861433209864554
232,E05000258,0.3584697644019898
233,E05000259,0.28972074346698096
234,E05000260,0.24565804094425453
235,E05000261,0.21571787376006335
236,E05000262,0.35036876327752636
237,E05000263,0.25063519917742944
238,E05000264,0.26136526481521083
239,E05000265,0.21557248182843652
240,E05000266,0.32635505972568196
241,E05000267,0.2292093119560271
242,E05000268,0.21449228374557344
243,E05000269,0.19591851601114194
244,E05000270,0.3312376030976003
245,E05000271,0.2547452399123244
246,E05000272,0.21255540514478866
247,E05000273,0.3764869614651934
248,E05000274,0.34905575814075274
249,E05000275,0.499534884
250,E05000276,0.08914050481162435
251,E05000277,0.3413053740191595
252,E05000278,0.10522710001944621
253,E05000279,0.10585172650582633
254,E05000280,0.30863083877117514
255,E05000281,0.30045038202352353
256,E05000282,0.3223549929820051
257,E05000283,0.3601366572271959
258,E05000284,0.22369423884092426
259,E05000285,0.2681271352583043
260,E05000286,0.22113480352402307
261,E05000287,0.2179193197442478
262,E05000288,0.34723867885640575
263,E05000289,0.31720930199999997
264,E05000290,0.22776921168390465
265,E05000291,0.21756320744313284
266,E05000292,0.29094804745092057
267,E05000293,0.10320663228354196
268,E05000294,0.23759674306218082
269,E05000295,0.32943050144760483
270,E05000296,0.3159952907557176
271,E05000297,0.18930232600000002
272,E05000298,0.12730712652736811
273,E05000299,0.284651163
274,E05000300,0.25830529554194703
275,E05000301,0.2750746548889141
276,E05000302,0.17129857902260115
277,E05000303,0.3021264615923964
278,E05000304,0.13674551445647465
279,E05000305,0.2616082285307819
280,E05000306,0.2704142256149166
281,E05000307,0.32660465217754575
282,E05000308,0.294410660370949
283,E05000309,0.24686714874051596
284,E05000310,0.2631688994063799
285,E05000311,0.15324727457341306
286,E05000312,0.12641591926060472
287,E05000313,0.33256002120138745
