region,Diabetes_100,Diabetes_101,Diabetes_102,Diabetes_103,Diabetes_104,Diabetes_105,Diabetes_106,Diabetes_107,Diabetes_108
4310,0.1842,0.1261,0.1583,0.1849,0.152,0.1308,0.1353,0.1172,0.1462
4311,0.1588,0.1092,0.1031,0.201,0.1157,0.0996,0.0989,0.0951,0.1124
4312,0.0173,0.0104,0.0222,0.0199,0.0258,0.022,0.0169,0.0187,0.0114
4313,0.0133,0.0183,0.0218,0.0194,0.0242,0.0268,0.0246,0.0301,0.0163
4314,0.0758,0.1029,0.125,0.2222,0.1176,0.274,0.1951,0.0968,0.1758
4315,0.014,0.0288,0.0204,0.0195,0.0467,0.0461,0.0461,0.0256,0.057
4316,0.0205,0.0317,0.0246,0.039,0.0156,0.0403,0.0346,0.0341,0.0464
4317,0.1466,0.1897,0.1371,0.136,0.0902,0.0752,0.1111,0.0897,0.0935
4318,0.0538,0.0709,0.0234,0.0744,0.0496,0.0446,0.0887,0.031,0.0234
4319,0.0866,0.0574,0.12,0.125,0.0758,0.1327,0.1339,0.1682,0.0849
4320,0.25,0.375,0.1143,0.2564,0.119,0.2,0.0638,0.0455,0.2292
4321,0.126,0.1484,0.1103,0.15,0.0735,0.0643,0.0685,0.0267,0.0833
4322,0.2414,0.3667,0.3333,0.2069,0.1667,0.0556,0.0556,0.0952,0.0612
4323,0.0513,0.0783,0.046,0.0359,0.0502,0.0709,0.0361,0.0267,0.0534
4324,0.0051,0.0038,0.0038,0.0051,0.0056,0.0052,0.0037,0.0027,0.0037
4325,0.0667,0.0405,0.0226,0.0292,0.0281,0.0383,0.0556,0.0321,0.04
4326,0.0006,0.0007,0.0004,0.0004,0.0004,0.0012,0.0005,0.0005,0.0011
4328,0.0006,0.0005,0.0002,0.0002,0.0003,0.0002,0.0005,0.0003,0.0009
4330,0.0005,0.0001,0.0005,0.0003,0.0007,0.0003,0.0006,0.0003,0.0007
4332,0.0002,0.0009,0.0004,0.0011,0.0007,0.0009,0.0007,0.0011,0.0002
4333,0.0002,0.0002,0.0005,0.0011,0.0002,0.0002,0.0006,0.0011,0.0009
4401,0.0777,0.0744,0.0494,0.0839,0.0557,0.0856,0.0684,0.0466,0.0446
4402,0.1833,0.082,0.1552,0.1311,0.1194,0.1538,0.0886,0.0854,0.101
4403,0.5,0.2857,0.2381,0.087,0.3889,0.2083,0.2222,0.1071,0.1613
4404,0.3077,0.2727,0.3929,0.3667,0.1538,0.2778,0.1081,0.1395,0.1951
4501,0.0039,0.005,0.0056,0.0054,0.0036,0.0058,0.005,0.005,0.0054
4502,0.007,0.0071,0.004,0.0056,0.0075,0.006,0.0054,0.0044,0.0033
4503,0.002,0.0025,0.0018,0.0031,0.0019,0.0022,0.0021,0.0022,0.002
4504,0.0017,0.0031,0.0023,0.0035,0.0019,0.002,0.0023,0.0021,0.002
4505,0.0036,0.0048,0.0046,0.0039,0.0035,0.0051,0.0031,0.0038,0.0034
4506,0.0014,0.0023,0.0023,0.0019,0.0016,0.0017,0.0021,0.0024,0.0022
4507,0.0013,0.0016,0.0033,0.0016,0.0012,0.0007,0.0015,0.0019,0.0024
4508,0.0003,0.0008,0.0005,0.0003,0.0016,0.0008,0.0011,0.0008,0.0008
4509,0.002,0.0023,0.001,0.0013,0.0017,0.0015,0.003,0.0019,0.0024
4511,0.0006,0.0005,0.0004,0.0005,0.0007,0.0004,0.0006,0.0006,0.0006
4512,0.0006,0.0002,0.0006,0.0002,0.0008,0.001,0.0008,0.0003,0.0007
4601,0.0015,0.002,0.0017,0.0018,0.0016,0.0013,0.0014,0.0016,0.002
4602,0.0006,0.0004,0.001,0.0014,0.0017,0.0009,0.0012,0.0004,0.0019
4603,0.0021,0.0012,0.0029,0.0021,0.0013,0.0013,0.0043,0.0025,0.0029
4604,0.002,0.0023,0.0009,0.0009,0.0015,0.0021,0.0008,0.0008,0.0012
4605,0.0013,0.0011,0.0016,0.0011,0.0005,0.0014,0.0014,0.0014,0.0028
4606,0.0004,0.0008,0.0008,0.0012,0.0014,0.0014,0.0006,0.0002,0.0006
4607,0.0012,0.0004,0.0013,0.0004,0.0017,0.0009,0.0009,0.0007,0.0012
4608,0.0023,0.0015,0.0032,0.0008,0.0017,0.0025,0.003,0.0014,0.0012
4609,0.0029,0.0029,0.0008,0.0017,0.0017,0.0021,0.0021,0.0013,0.0039
4610,0.003,0.0022,0.0022,0.0027,0.0045,0.0036,0.0032,0.0027,0.0064
4612,0.0006,0.0012,0.0006,0.0009,0.0006,0.0015,0.0012,0.0009,0.0009
9001,0.087,0.046,0.0357,0.0374,0.0769,0.0583,0.0339,0.0583,0.0495
9002,0.0761,0.0442,0.0424,0.0656,0.0552,0.0795,0.0067,0.0196,0.0361
9003,0.0361,0.0238,0.0117,0.0287,0.0183,0.0091,0.0057,0.0054,0.0254
9004,0.0252,0.027,0.0273,0.0044,0.0449,0.0198,0.022,0.0181,0.0202
9005,0.0345,0.0606,0.0789,0.1163,0.0204,0.0698,0.0889,0.12,0.08
