region,Diabetes_100,Diabetes_101,Diabetes_102,Diabetes_103,Diabetes_104,Diabetes_105,Diabetes_106,Diabetes_107,Diabetes_108
0526,0.5385,0.2308,0.5833,0.2667,0.0588,0.0286,0.0479,0.0247,0.0309
0527,0.104,0.1118,0.0663,0.0699,0.5246,0.5873,0.4648,0.3896,0.314
0528,0.0749,0.0625,0.0613,0.0864,0.5417,0.5957,0.5091,0.8039,0.7091
0529,0.1731,0.1887,0.2407,0.3684,0.2115,0.2727,0.6071,0.5556,0.3607
0530,0.5,0.8,0.2,0.4,0.0541,0.1081,0.1,0.1081,0.1579
0531,0.0464,0.044,0.0497,0.0568,4.9,4.6667,4.6316,4.45,3.6
0532,0.1108,0.0854,0.0981,0.0971,0.404,0.3734,0.4808,0.4534,0.3729
0533,0.1396,0.1733,0.2257,0.1578,0.2919,0.3194,0.3453,0.3843,0.3333
0534,0.3008,0.3636,0.1768,0.2129,0.7895,0.5873,0.678,0.6271,0.5
0535,0.1783,0.1496,0.1207,0.1378,0.9467,0.878,0.7742,0.6436,0.6636
0537,0.2447,0.2249,0.2024,0.203,0.8584,0.8049,0.7405,0.7031,0.7903
0538,0.0735,0.0567,0.053,0.0625,0.8947,0.35,0.8182,1.2083,0.3929
0701,0.0471,0.0486,0.0541,0.0456,0.4276,0.4318,0.461,0.5485,0.518
0702,0.0684,0.0606,0.0518,0.068,0.0384,0.0418,0.0511,0.0415,0.0443
0703,0.2441,0.2143,0.1678,0.183,0.0752,0.1055,0.0966,0.0795,0.1217
0704,0.2074,0.1844,0.2422,0.2,0.0434,0.0417,0.0359,0.0385,0.0432
0705,0.0362,0.0326,0.0431,0.0339,0.2215,0.236,0.1556,0.1862,0.1393
0706,0.0375,0.0373,0.0299,0.023,0.0012,0.0014,0.0017,0.0011,0.0017
0707,0.0395,0.0467,0.0638,0.0549,0.2286,0.3241,0.265,0.1776,0.3391
0708,0.0283,0.0386,0.0333,0.0176,0.0155,0.0146,0.0138,0.0101,0.0146
