,region,Diabetes_100,Diabetes_101,Diabetes_102,Diabetes_103,Diabetes_104,Diabetes_105,Diabetes_106,Diabetes_107,Diabetes_108
19,308,0.5547286062739798,0.5453988163855195,0.5561427616391399,0.5674087249754866,0.6293075152874037,0.5971835430155358,0.5778010276208594,0.5931666861581084,0.5805796803010935
20,309,0.5450066264169519,0.5446128708156169,0.49156126424510344,0.5154449049741715,0.5710964683965012,0.5568423081681421,0.5827475839888253,0.5405863669683881,0.6137678371063361
21,310,0.4860028558798977,0.5264715226489869,0.5346579775218574,0.49618049979605583,0.6593410036672829,0.6665890249069504,0.6324338442075744,0.637638850856299,0.6541517871759425
22,311,0.6107876815017942,0.6277913098146229,0.6301398885574547,0.5996981452927105,0.4935674821625439,0.4838349521921659,0.46541218972010867,0.4627341343429793,0.5054055030528141
23,312,0.711534705420734,0.6854089744624969,0.6917333508446973,0.6319467536021744,0.30927150110555923,0.4231922435242869,0.4117433897973209,0.381838416936788,0.38781816574253397
24,313,0.6194709078985644,0.677015689387593,0.6467320763417604,0.6399169116313307,0.4808682429303815,0.48236275102399373,0.46801945113715937,0.4935674821625439,0.49618049979605583
25,314,0.7979415906153923,0.7051592217438797,0.7559777899957185,0.661776575489819,0.3732559934584943,0.3354793048059385,0.30488697273767773,0.37764052182637575,0.279455831689012
26,315,0.5704913398289211,0.6145475696028124,0.5964864684030088,0.6135719370476123,0.5571902296828305,0.5283503536868532,0.510552878588509,0.4974615002314332,0.5359586862231034
27,316,0.4867150297113053,0.4993523373124212,0.5094320069000429,0.4808682429303815,0.5159737837058733,0.5492372636511981,0.5547286062739798,0.5543718766007143,0.5557911190308924
28,317,0.610989184426102,0.5543718766007143,0.5230949116102505,0.5766672720676793,0.6694122184085078,0.6843621801526625,0.6690776709521955,0.6980936006767268,0.6985089092782713
29,318,0.6264237226080106,0.6176062843720146,0.5789218993093255,0.6364020240279864,0.6723731549946416,0.6192860237823067,0.6200234900000755,0.6179820396727075,0.6291401943869842
30,319,0.5606035684480236,0.5154449049741715,0.55993028496592,0.5648713336804653,0.6456047995331813,0.644607752010941,0.659217631984977,0.6486743318682407,0.6581002873440213
31,320,0.5760954696133137,0.5571902296828305,0.5606035684480236,0.5240715101540525,0.6483991973881867,0.6127844227074268,0.6309652962791718,0.623983847216585,0.6645050956926618
32,321,0.3354793048059385,0.2954859914732332,0.26711028408512205,0.3174959000632002,0.538089128593581,0.5154449049741715,0.4808682429303815,0.47858314504571564,0.4627341343429793
33,322,0.6750377051143878,0.7203529042090272,0.6447508059114978,0.6667035178358178,0.2850936888278603,0.2850936888278603,0.3213644604865373,0.15874795003160008,0.21672466810704374
34,323,0.649767258808061,0.6198396397191782,0.6402167162607616,0.6271098863987705,0.3638550121940497,0.381838416936788,0.39878897824067305,0.36866746161118097,0.37764052182637575
35,324,0.658474143687278,0.6988399016933848,0.6833041572157672,0.6541517871759425,0.4571494930927401,0.4491745942187512,0.4831015982775451,0.4491745942187512,0.4867150297113053
36,325,0.5904775676398629,0.6227408973215308,0.6135719370476123,0.6111902765388619,0.44600954254719233,0.4218317302694934,0.41473257755672854,0.39878897824067305,0.4271646856287842
37,326,0.6311295521824835,0.5964864684030088,0.6220235439985818,0.6478466152866755,0.4231922435242869,0.507151312294195,0.5048166317685404,0.4867150297113053,0.5042242236985969
38,327,0.5811261395777388,0.5813982380872444,0.5543718766007143,0.601265600593968,0.4618250436021988,0.524556207184167,0.5226029622256498,0.5226029622256498,0.5226029622256498
39,328,0.5547286062739798,0.566148188367391,0.5978757258361039,0.5609384945665872,0.45324262012390504,0.3858649207840168,0.43703648233199754,0.3897334812073538,0.43222403291486616
40,329,0.5393456506451265,0.5683436670195586,0.5737745237736306,0.5701873776557208,0.5240715101540525,0.4902007509903099,0.489513391782582,0.46972010787276464,0.49618049979605583
41,501,0.6980936006767268,0.6813509122572501,0.7088846331107395,0.7303858780521038,0.5311031550637958,0.5532938806560853,0.5099940349001274,0.5143785632680088,0.5099940349001274
42,502,0.7702991624577865,0.7731789519858512,0.8144981543412037,0.805508043884455,0.43465960473740245,0.43222403291486616,0.455215398827836,0.43585520297778035,0.4231922435242869
43,503,0.7269053362646405,0.8086781083765129,0.7790282560703837,0.8054520009016153,0.6230976269947963,0.6341995416730662,0.5235844195486525,0.5819401935558871,0.6162797523128262
44,504,0.7625574299665572,0.7795398908077856,0.7848958649879847,0.7939289490276691,0.5529319145722782,0.578642873247313,0.5686533553340711,0.5585697717111264,0.5816695880441964
45,505,0.7300854341794052,0.769454914960032,0.7856867424635432,0.7585814289569903,0.47702979566470294,0.49156126424510344,0.46452755915233496,0.5206102551153182,0.47465291807010773
46,506,0.7365489776524595,0.7208828485175058,0.7180003241012267,0.7200868604950881,0.7866749814323352,0.8494998435532948,0.8414118027747736,0.7915374714377547,0.781596001787509
47,507,0.7143980602505652,0.7129767727317575,0.7060078715771155,0.6978435735538887,0.8338697435118175,0.83068801696648,0.8453424859902933,0.8385680556224012,0.8460693273026796
48,508,0.8081613341913182,0.8117231549007391,0.8081613341913182,0.8145748439761239,0.3587956649079676,0.3587956649079676,0.3638550121940497,0.38387221367368524,0.3286741482784757
49,509,0.797790239278124,0.7932968696640913,0.8102924757904918,0.8081613341913182,0.748479216654805,0.7165613624292507,0.7023296386263266,0.7727112988910363,0.7097019576506972
50,510,0.8086781083765129,0.8474155952325464,0.7976083105813377,0.8509418848356443,0.6835938362702162,0.6973416098896568,0.6848393733772887,0.6448936526376149,0.6572224054777756
51,511,0.8284713922863304,0.8433394710676148,0.8049179983732762,0.8203077702579485,0.7863353266643877,0.8041257399199419,0.7743768922979322,0.8066499630434861,0.758761585440215
52,512,0.773644398294188,0.7886887086819647,0.7848958649879847,0.8218151484773784,0.4502074376576045,0.4888212089620139,0.503028625458219,0.4867150297113053,0.46972010787276464
53,513,0.8377835526108294,0.8400988622888501,0.7571739458981948,0.8000956848982191,0.5159737837058733,0.5446128708156169,0.46801945113715937,0.489513391782582,0.5159737837058733
54,514,0.7092569840517744,0.7009646953947903,0.6932311965119363,0.70193014173697,0.573185652489357,0.5625962755583552,0.5692698301354825,0.5514706189983617,0.5164998417375979
55,515,0.8659773313021543,0.8446856007444571,0.8117231549007391,0.8117231549007391,0.3174959000632002,0.279455831689012,0.2529954397657207,0.3213644604865373,0.3478248524098286
