year,Obesity Prevalence_min,Obesity Prevalence_mean,Obesity Prevalence_var,RMSE_list,MAPE_list
2008-2008,0.18062886598073633,0.18327927437712727,8.074882452345611e-06,"[0.18062886598073633, 0.18827496193637955, 0.1841432604351752, 0.18055734819136884, 0.18279193534197635]","[0.46274568630638374, 0.5008597721059468, 0.47832226577271797, 0.48071374206132245, 0.46713967128211215]"
2008-2008,0.14337967255690184,0.14668130234109328,6.821052432511986e-06,,
2008-2008,0.46274568630638374,0.4779562275056966,0.00017613373558140387,,
