year,Obesity Prevalence_min,Obesity Prevalence_mean,Obesity Prevalence_var,RMSE_list,MAPE_list
2008-2013,0.15917660346214124,0.1544668932076919,7.116211673253831e-06,"[0.15917660346214124, 0.1518629680348203, 0.15312073026598075, 0.15258398636300485, 0.15559017791251242]","[0.4220412756960904, 0.42282018478691413, 0.43650004938177633, 0.42904504021976114, 0.45435060420709095]"
2008-2013,0.12222181620588021,0.1158270718970525,1.2359418902775144e-05,,
2008-2013,0.4220412756960904,0.4329514308583266,0.0001414901667760177,,
