year,Obesity Prevalence_min,Obesity Prevalence_mean,Obesity Prevalence_var,RMSE_list,MAPE_list
2008-2015,0.18116940795372552,0.1864907019080825,3.370033060415909e-05,"[0.18061514462927572, 0.18398422375593773, 0.19168552329383193, 0.1949992099076416, 0.18116940795372552]","[0.43520808342582107, 0.44584680547290584, 0.43819119196047296, 0.44448636552035936, 0.4244313360660733]"
2008-2015,0.13579878571436088,0.1408465356933784,2.411327335856622e-05,,
2008-2015,0.4244313360660733,0.43763275648912653,5.898218965734118e-05,,
